week,date,u_wind,ahf,elec_price,token_price,u_stagnation,m_drift,irr_projected,gate_status,tactical_route
32,Aug W4,3.5776721662387456,120.0,143.49092837444408,3.269204378076893,0.42717669777100575,1.0,-0.3500060348791863,LOCKED,AVOID (Hurdle Rate Breach)
33,Sep W1,3.259247719974912,120.0,45.02045382656984,3.3313266326615865,0.42717669777100575,1.0,0.17604012961343488,LOCKED,AVOID (Hurdle Rate Breach)
34,Sep W2,3.194371290083938,120.0,43.31741870893856,3.13015551095395,0.42717669777100575,1.0,0.1522946236953518,LOCKED,AVOID (Hurdle Rate Breach)
35,Sep W3,3.6424305140887228,120.0,44.35485715333596,3.2037267276934056,0.42717669777100575,1.0,0.159908753742442,LOCKED,AVOID (Hurdle Rate Breach)
36,Sep W4,3.5545302344336585,120.0,45.698311251327354,3.5263423081452636,0.42717669777100575,1.0,0.20109966753205855,LOCKED,AVOID (Hurdle Rate Breach)
37,Oct W1,3.38409167473047,120.0,37.32491513880383,3.2910664901080597,0.42717669777100575,1.0,0.1911832521633196,LOCKED,AVOID (Hurdle Rate Breach)
38,Oct W2,3.2845834211313263,120.0,54.852968449941145,3.307227625192923,0.42717669777100575,1.0,0.14550099273258452,LOCKED,AVOID (Hurdle Rate Breach)
39,Oct W3,2.6987931774282807,120.0,44.86115292117903,3.336185681080033,0.42717669777100575,1.0,0.1771493619740973,LOCKED,AVOID (Hurdle Rate Breach)
40,Oct W4,3.874619168225828,120.0,48.007732130747094,1.3714258251612017,0.42717669777100575,1.0,-0.6086669072588807,LOCKED,SHORT/AVOID (Severe Drawdown & Thermal Wall)
41,Nov W1,2.5588893623246314,120.0,50.61117724374439,1.207249003616421,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
42,Nov W2,0.33717864885320187,120.0,87.2572442513602,1.3269485675040216,0.42717669777100575,1.015926578363336,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
43,Nov W3,3.459790819052585,120.0,42.734809081588914,1.2007570939895449,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
44,Nov W4,3.441137784883616,120.0,38.79734627573547,1.239721947670704,0.42717669777100575,1.0,-0.33900740076598673,LOCKED,AVOID (Hurdle Rate Breach)
45,Dec W1,2.848345459459718,120.0,46.89436972254072,1.1950157029019117,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
46,Dec W2,3.2067630902765947,120.0,41.86698683065505,1.4039947524014031,0.42717669777100575,1.0,-0.23543443899885394,LOCKED,AVOID (Hurdle Rate Breach)
47,Dec W3,3.5364759607624774,120.0,40.07654273426418,1.3450813773895736,0.42717669777100575,1.0,-0.25241847643924664,LOCKED,AVOID (Hurdle Rate Breach)
48,Dec W4,3.5107803151193826,120.0,38.57006706175509,1.3845714203425943,0.42717669777100575,1.0,-0.20877232491109085,LOCKED,AVOID (Hurdle Rate Breach)
49,Dec W1,2.6578295734731507,120.0,48.12729148710924,1.3007906235398738,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
50,Dec W2,3.5781908039399117,120.0,47.08776626246759,1.174363470953258,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
51,Dec W3,2.9919851670529054,120.0,46.3857928379879,1.3000394280276701,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
52,Dec W4,2.971389149184179,120.0,46.17228989319472,1.2985802957728803,0.42717669777100575,1.0,-0.99,LOCKED,AVOID (Hurdle Rate Breach)
